Date,Ref,EKRE,Kesk,E200,SDE,Isamaa,Parempoolsed
2024-07-17,16.0,12.6,13.8,2.6,17.1,27.5,5.4
2024-07-12,19.4,11.2,12.5,3.8,16.4,30.3,3.8
2024-07-05,15.2,11.0,12.2,3.3,15.4,33.7,5.8
2024-06-24,16.4,13.0,13.6,3.7,16.1,30.0,4.7
2024-06-17,16.0,12.8,14.1,2.6,17.5,27.1,8.4
2024-06-17,15.6,11.8,12.5,2.4,17.8,30.5,6.1
2024-06-11,20.0,15.0,11.0,4.0,17.0,23.0,5.0
2024-06-10,17.8,16.3,10.0,2.9,14.1,29.6,6.9
2024-06-09,17.9,14.9,12.4,2.6,19.3,21.5,6.8
2024-06-01,19.3,13.6,10.0,5.6,14.2,29.0,5.9
2024-05-27,19.4,17.6,13.3,5.3,16.2,23.5,2.8
2024-05-21,17.0,16.0,8.0,6.0,19.0,22.0,5.0
2024-05-20,19.4,12.7,12.3,7.5,12.1,27.7,4.9
2024-05-15,17.5,17.0,12.7,4.9,18.0,21.5,5.4
2024-05-13,18.0,15.7,12.3,6.1,14.1,29.1,2.3
2024-05-06,17.8,17.5,11.9,4.2,15.9,27.6,2.8
2024-04-29,19.7,19.8,8.3,4.6,14.4,26.5,3.9
2024-04-22,20.5,17.9,10.7,4.2,12.6,27.1,4.2
2024-04-17,18.8,18.3,13.8,4.8,14.2,22.1,4.6
2024-04-15,15.2,16.7,10.8,7.8,16.4,28.7,2.3
2024-04-11,19.0,15.0,10.0,5.0,13.0,27.0,4.0
2024-04-08,18.6,20.2,8.9,4.9,14.3,26.9,3.8
2024-03-29,17.3,17.4,12.8,4.5,14.3,27.9,3.5
2024-03-25,18.0,19.2,11.2,4.5,15.2,28.5,1.8
2024-03-20,15.0,16.1,13.9,3.6,17.6,26.7,4.5
2024-03-18,17.8,19.7,10.0,6.7,13.7,26.8,2.0
2024-03-18,17.0,19.0,10.0,6.0,15.0,25.0,3.0
2024-03-08,16.2,16.3,10.5,6.6,15.2,30.9,2.1
2024-03-04,14.9,19.8,12.8,5.8,13.0,29.3,2.0
2024-02-23,19.7,20.1,10.2,5.1,11.6,29.2,2.1
2024-02-19,16.2,18.0,13.7,5.8,13.3,28.7,2.5
2024-02-19,18.0,17.0,8.0,7.0,16.0,24.0,3.0
2024-02-14,16.7,15.2,11.8,5.3,17.2,27.0,3.2
2024-02-09,20.0,16.4,8.1,3.0,17.1,31.3,2.8
2024-02-02,17.2,18.9,9.7,4.5,16.1,29.1,1.7
2024-01-26,13.5,21.5,12.5,6.5,17.1,25.3,1.5
2024-01-25,16.0,16.0,12.0,5.0,18.0,25.0,3.0
2024-01-24,18.7,17.4,14.0,3.9,17.2,22.1,3.7
2024-01-22,18.8,17.9,11.0,6.8,17.5,23.5,2.3
2024-01-12,17.5,15.3,12.3,5.3,16.1,27.3,2.8
2024-01-08,19.5,17.6,15.1,5.7,11.7,26.2,2.2
2023-12-22,16.3,19.6,14.9,6.6,10.5,27.1,2.8
2023-12-18,16.4,20.4,14.2,5.8,10.7,26.7,2.8
2023-12-13,15.2,19.8,15.2,6.1,11.8,24.9,4.1
2023-12-08,16.8,22.5,16.2,5.5,10.4,25.4,1.6
2023-12-06,18,16,12,6,13,26,4
2023-12-01,17.0,19.9,15.7,6.5,10.9,26.5,1.5
2023-11-24,18.2,20.8,14.0,6.9,10.6,25.8,1.5
2023-11-22,16.1,20.6,13.4,6.3,12.9,24.8,3.3
2023-11-17,16.3,19.3,14.4,5.5,9.4,30.6,1.8
2023-11-10,17.3,24.0,10.1,6.1,11.6,26.7,2.3
2023-11-06,16.7,24.1,14.3,5.0,9.2,25.6,2.5
2023-11-06,18.0,20.5,10.9,5.1,10.0,25.9,3.7
2023-10-27,20.3,22.1,14.7,6.1,11.0,21.6,2.7
2023-10-20,18.3,24.6,13.1,6.6,10.1,22.6,2.9
2023-10-18,19.7,17.4,14.3,7.2,14.8,18.5,4.1
2023-10-13,20.4,22.3,15.9,6.2,9.6,20.1,2.8
2023-10-09,20.4,24.0,15.1,6.2,10.9,17.0,3.4
2023-10-06,23,19,14,8,10,16,4
2023-10-02,23.2,21.8,14.4,6.8,10.2,18.0,3.2
2023-09-25,23.2,24.8,15.0,6.2,9.7,16.9,2.4
2023-09-20,24.2,20.6,16.4,7.3,11.9,12.8,4.1
2023-09-18,25.1,21.2,15.5,6.1,10.7,15.2,2.7
2023-09-11,25.8,24.1,16.6,6.6,10.1,13.1,1.1
2023-09-10,23,20,18,6,10,14,4
2023-09-04,25.2,25.2,16.8,6.2,8.6,13.3,1.4
2023-08-28,27.2,22.5,16.6,7.6,10.5,11.2,2.7
2023-08-21,24.1,23.5,19.0,8.9,10.6,9.5,2.2
2023-08-16,25.3,17.6,17.0,7.4,13.8,10.6,4.1
2023-08-14,24.9,25.2,17.9,8.2,9.2,9.9,2.5
2023-08-13,23,24,16,8,13,9,3
2023-08-07,23.8,23.8,18.1,8.5,11.1,10.0,2.5
2023-07-31,25.1,20.2,19.1,9.0,12.0,9.4,1.5
2023-07-23,29.5,21.2,17.5,8.0,9.5,9.8,2.2
2023-07-20,26.3,20.2,16.2,9.8,11.5,8.5,3.5
2023-07-17,28.3,22.6,18.4,6.9,8.9,10.1,2.6
