Date,Con,Lab,Lib Dem,SNP,Green,Reform
2023-10-30,25.0,46.0,11.0,2.0,6.0,7.0
2023-10-29,25.0,45.0,13.0,3.0,6.0,7.0
2023-10-27,26.0,46.0,10.0,3.0,6.0,7.0
2023-10-27,27.0,42.0,10.0,3.0,7.0,8.0
2023-10-26,25.0,46.0,11.0,3.0,5.0,7.0
2023-10-25,24.0,48.0,9.0,4.0,5.0,8.0
2023-10-23,21.0,49.0,9.0,,7.0,9.0
2023-10-22,26.0,44.0,13.0,2.0,4.0,8.0
2023-10-22,29.0,46.0,10.0,2.0,3.0,5.0
2023-10-20,27.0,47.0,10.0,2.0,5.0,6.0
2023-10-20,27.0,48.0,10.0,2.0,4.0,7.0
2023-10-19,26.0,45.0,11.0,3.0,6.0,6.0
2023-10-18,25.0,47.0,9.0,3.0,7.0,7.0
2023-10-18,24.0,44.0,13.0,4.0,8.0,4.0
2023-10-16,30.0,42.0,12.0,3.0,6.0,7.0
2023-10-16,27.0,47.0,10.0,2.0,6.0,5.0
2023-10-15,29.0,43.0,14.0,1.0,4.0,7.0
2023-10-15,29.0,45.0,10.0,3.0,2.0,5.0
2023-10-13,28.0,44.0,9.0,3.0,6.0,7.0
2023-10-13,28.0,44.0,10.0,3.0,6.0,6.0
2023-10-12,30.0,43.0,11.0,2.0,6.0,7.0
2023-10-12,24.0,47.0,9.0,4.0,6.0,8.0
2023-10-12,26.0,46.0,10.0,3.0,6.0,6.0
2023-10-09,27.0,43.0,13.0,1.0,6.0,8.0
2023-10-08,30.0,46.0,10.0,2.0,3.0,5.0
2023-10-07,28.0,43.0,12.0,3.0,6.0,7.0
2023-10-06,29.0,42.0,11.0,3.0,6.0,6.0
2023-10-06,28.0,44.0,10.0,2.0,5.0,6.0
2023-10-05,24.0,45.0,11.0,4.0,7.0,8.0
2023-10-05,30.0,44.0,10.0,2.0,7.0,6.0
2023-10-05,26.0,45.0,11.0,3.0,6.0,6.0
2023-10-02,26.0,44.0,12.0,3.0,6.0,5.0
2023-10-01,29.0,43.0,12.0,3.0,4.0,7.0
2023-10-01,27.0,46.0,11.0,3.0,4.0,5.0
2023-09-29,27.0,47.0,10.0,3.0,5.0,7.0
2023-09-29,29.0,39.0,12.0,3.0,7.0,7.0
2023-09-27,24.0,45.0,11.0,3.0,7.0,8.0
2023-09-27,27.0,45.0,10.0,3.0,6.0,6.0
2023-09-25,28.0,44.0,10.0,4.0,6.0,5.0
2023-09-25,29.1,45.7,12.1,3.5,3.2,4.6
2023-09-24,28.0,43.0,13.0,2.0,5.0,8.0
2023-09-24,30.0,44.0,11.0,2.0,4.0,5.0
2023-09-22,27.0,43.0,10.0,4.0,7.0,8.0
2023-09-22,28.0,45.0,9.0,3.0,6.0,6.0
2023-09-21,26.0,45.0,11.0,3.0,7.0,5.0
2023-09-20,28.0,43.0,12.0,3.0,6.0,7.0
2023-09-17,26.0,44.0,14.0,3.0,6.0,6.0
2023-09-17,26.0,46.0,12.0,3.0,4.0,5.0
2023-09-15,27.0,44.0,11.0,3.0,6.0,7.0
2023-09-15,26.0,41.0,11.0,3.0,7.0,8.0
2023-09-14,24.0,45.0,9.0,3.0,9.0,8.0
2023-09-15,23.0,47.0,10.0,4.0,7.0,6.0
2023-09-14,26.0,46.0,10.0,3.0,6.0,6.0
2023-09-12,24.0,44.0,12.0,4.0,8.0,4.0
2023-09-10,25.0,45.0,12.0,4.0,6.0,6.0
2023-09-08,24.0,46.0,10.0,4.0,7.0,6.0
2023-09-08,26.0,46.0,9.0,3.0,6.0,6.0
2023-09-07,25.0,46.0,10.0,3.0,6.0,7.0
2023-09-04,28.0,46.0,10.0,3.0,5.0,7.0
2023-09-04,27.0,43.0,13.0,5.0,5.0,4.0
2023-09-03,28.0,44.0,14.0,3.0,4.0,6.0
2023-09-03,29.0,45.0,10.0,3.0,3.0,6.0
2023-09-01,28.0,42.0,9.0,3.0,8.0,8.0
2023-09-01,25.0,46.0,11.0,3.0,5.0,7.0
2023-09-01,29.0,46.0,11.0,3.0,3.0,4.0
2023-08-31,26.0,44.0,10.0,4.0,7.0,7.0
2023-08-31,24.0,45.0,11.0,3.0,6.0,8.0
