Date,Undecided,Net Approval
2024-10-20,28.0,-6.0
2024-10-20,18.2,1.0
2024-10-20,23.4,6.0
2024-10-14,23.6,12.0
2024-10-13,27.5,13.4
2024-10-14,41.9,-2.1000000000000014
2024-10-12,21.3,5.299999999999997
2024-10-06,1.9,5.100000000000001
2024-10-06,10.9,17.5
2024-10-06,25.4,10.0
2024-10-03,16.0,9.0
2024-10-02,12.0,14.0
2024-10-02,20.4,21.800000000000004
2024-10-02,24.0,16.0
2024-10-02,17.0,19.0
2025-03-23,6.6,-32.6
2025-03-23,18.5,-23.000000000000004
2025-03-23,14.6,-30.199999999999996
2025-03-23,6.0,-24.0
2025-03-16,26.0,-13.899999999999999
2025-03-16,15.0,-33.0
2025-03-16,13.0,-41.0
2025-03-16,11.0,-27.0
2025-03-10,28.0,-16.200000000000003
2025-03-09,19.0,-8.599999999999994
2025-03-05,18.6,-32.199999999999996
2025-03-02,3.9,-19.300000000000004
2025-02-23,5.6,-5.800000000000004
2025-02-23,21.3,-3.6000000000000014
2025-02-23,8.0,-12.0
2025-02-16,28.4,9.5
2025-02-16,16.0,-4.0
2025-02-16,18.6,-2.1999999999999957
2025-02-16,16.0,-24.0
2025-02-16,18.0,-4.0
2025-02-09,21.6,9.199999999999996
2025-02-09,31.4,-11.600000000000001
2025-02-02,3.2,-22.6
2025-01-27,21.4,-29.4
2025-01-26,22.5,-5.099999999999994
2025-01-26,15.1,-13.5
2025-01-26,7.0,-7.0
2025-01-19,16.0,-18.0
2025-01-19,7.8,-5.200000000000003
2025-01-19,19.0,-25.0
2025-01-19,14.0,-6.0
2025-01-13,21.5,-1.0999999999999943
2025-01-13,31.5,-12.099999999999998
2025-01-12,30.1,2.1000000000000014
2025-01-08,21.5,-29.5
2025-01-05,3.4,-13.800000000000004
2024-12-22,8,-10.0
2024-12-15,29.7,-1.5
2024-12-15,21,-7.0
2024-12-15,6.4,-1.8000000000000043
2024-12-15,17,-23.0
2024-12-15,20.4,-6.600000000000001
2024-12-15,13,-9.0
2024-12-09,31.9,-14.499999999999996
2024-12-09,24,-0.5999999999999943
2024-12-08,21.6,-1.2999999999999972
2024-12-02,22.1,-29.1
2024-12-01,5.5,-10.299999999999997
2024-11-24,20,-19.0
2024-11-17,21.2,1.2000000000000028
2024-11-17,30.5,9.800000000000004
2024-11-17,22.2,3.799999999999997
2024-11-17,8,0.0
2024-11-12,15,1.0
2024-11-11,33,-9.599999999999998
2024-11-10,24.4,1.0
2024-11-04,23.6,-30.4
2024-11-03,19,-13.0
2024-11-03,6.4,-6.0
2024-11-02,3.8,-18.4
2024-10-29,15,-17.0
2024-10-29,15.7,-20.1
