Date,CPC,LPC,NDP,BQ,PPC,GPC
2025-03-30,38.0,43.0,7.0,5.0,3.0,2.0
2025-03-30,36.1,43.6,10.5,5.3,1.9,2.4
2025-03-30,40.0,43.0,6.0,5.0,3.0,2.0
2025-03-29,38.0,42.0,7.0,6.0,3.0,3.0
2025-03-29,37.0,41.9,10.6,5.3,1.9,2.6
2025-03-29,40.0,42.0,7.0,5.0,3.0,2.0
2025-03-29,34.0,45.0,11.0,4.0,2.0,4.0
2025-03-28,36.0,44.0,8.0,6.0,2.0,3.0
2025-03-28,40.0,43.0,6.0,5.0,2.0,2.0
2025-03-27,39.0,39.0,11.0,5.0,3.0,3.0
2025-03-27,38.0,43.0,7.0,6.0,2.0,2.0
2025-03-27,41.0,44.0,7.0,5.0,1.0,2.0
2025-03-26,38.0,44.0,9.0,5.0,1.0,2.0
2025-03-26,37.0,44.0,6.0,6.0,3.0,2.0
2025-03-26,41.0,45.0,6.0,5.0,1.0,1.0
2025-03-25,38.0,42.0,7.0,6.0,3.0,2.0
2025-03-25,40.0,44.0,7.0,5.0,1.0,2.0
2025-03-25,34.6,49.6,7.2,3.9,1.5,1.6
2025-03-25,37.0,38.0,11.0,6.0,3.0,4.0
2025-03-24,37.0,41.0,9.0,7.0,2.0,3.0
2025-03-24,37.0,42.0,7.0,6.0,4.0,3.0
2025-03-24,39.0,44.0,7.0,6.0,2.0,2.0
2025-03-24,38.0,46.0,7.0,6.0,1.0,1.0
2021-09-20,33.7,32.6,17.8,7.6,4.9,2.3
