Date,Coalition,Labor,Green,ONP,UAP,Other
2023-07-15,34%,36%,12%,7%,—,11%
2023-07-09,32%,32%,14%,8%,1%,8%
2023-06-25,30%,32%,14%,7%,2%,11%
2023-06-24,35%,38%,11%,6%,—,10%
2023-06-11,32%,32%,16%,5%,1%,9%
2023-06-11,30%,40%,12%,6%,2%,10%
2023-06-03,34%,38%,12%,6%,—,10%
2023-05-28,31%,34%,15%,6%,2%,7%
2023-05-17,37%,34%,12%,—,—,17%
2023-05-16,30%,42%,12%,5%,2%,8%
2023-05-14,31%,35%,14%,5%,1%,8%
2023-05-14,34%,38%,11%,7%,—,—
2023-04-30,32%,33%,14%,5%,2%,8%
2023-04-22,33%,38%,11%,7%,—,—
2023-04-16,31%,34%,14%,6%,3%,9%
2023-04-16,28%,42%,12%,6%,1%,11%
2023-04-02,30%,33%,14%,6%,2%,10%
2023-04-02,33%,38%,10%,8%,—,11%
2023-03-20,31%,34%,14%,5%,2%,9%
2023-03-16,30%,39%,13%,5%,—,13%
2023-03-05,32%,32%,12%,7%,2%,10%
2023-03-05,33.5%,38%,11.5%,—,—,17%
2023-03-04,35%,37%,10%,7%,—,11%
2023-02-26,34.5%,37%,13.5%,—,—,15%
2023-02-19,30%,33%,14%,6%,3%,8%
2023-02-19,33%,37%,13%,—,—,17%
2023-02-18,31%,40%,10%,5%,1%,11%
2023-02-06,30%,33%,17%,6%,1%,15%
2023-02-02,34%,38%,11%,6%,1%,10%
2023-01-29,33.5%,37.5%,11.5%,—,—,17.5%
2023-01-22,31%,34%,14%,8%,1%,7%
2023-01-22,29%,42%,11%,6%,2%,11%
2022-12-11,37%,37%,12%,4%,—,10%
2022-12-11,30%,35%,13%,6%,3%,17%
2022-12-04,30%,42%,11%,4%,2%,8%
2022-12-03,35%,39%,11%,6%,1%,9%
2022-11-27,31%,33%,13%,—,—,17%
2022-10-30,32%,39%,13%,4%,1%,11%
2022-10-30,35%,38%,11%,6%,1%,9%
2022-10-09,30%,39%,12%,5%,3%,11%
2022-09-18,32%,39%,10%,6%,2%,11%
2022-09-03,31%,37%,13.5%,7%,2%,10%
2022-08-21,28%,42%,12%,5%,2%,11%
2022-07-30,33%,37%,12%,6%,2%,10%
2022-06-17,31%,34%,12%,4%,4%,7%
2022-06-19,37%,36%,11%,4%,0.5%,11.5%
2022-05-21,35.7%,32.6%,12.2%,5.0%,4.1%,10.4%
