Date,Government,Opposition
2025-01-25,63.0,87.0
2025-01-20,64.0,86.0
2024-12-28,67.0,83.0
2024-12-14,64.0,86.0
2024-12-09,67.0,83.0
2024-11-25,71.0,79.0
2024-11-23,67.0,83.0
2024-11-11,68.0,82.0
2024-11-09,68.0,82.0
2024-10-28,73.0,77.0
2024-10-21,68.0,82.0
2024-10-12,68.0,82.0
2024-09-28,71.0,79.0
2024-09-23,70.0,80.0
2024-09-23,74.0,76.0
2024-09-16,74.0,76.0
2024-09-14,72.0,78.0
2024-08-26,77.0,73.0
2024-07-29,80.0,70.0
2024-07-06,73.0,77.0
2024-06-29,74.0,76.0
2024-06-24,82.0,68.0
2024-06-17,74.0,76.0
2024-06-06,78.0,72.0
2024-06-01,76.0,74.0
2024-05-27,85.0,65.0
2024-05-21,78.0,72.0
2024-05-18,78.0,72.0
2024-05-12,79.0,71.0
2024-05-04,79.0,71.0
2024-04-29,84.0,66.0
2024-04-19,80.0,70.0
2024-03-25,86.0,64.0
2024-03-22,80.0,70.0
2024-03-08,81.0,69.0
2024-02-26,87.0,63.0
2024-02-12,82.0,68.0
2024-02-09,84.0,66.0
2024-02-03,85.0,65.0
2024-01-29,88.0,62.0
2024-01-20,87.0,63.0
2023-12-22,88.0,62.0
2023-12-18,92.0,58.0
2023-12-11,87.0,63.0
2023-12-02,87.0,63.0
2023-11-22,88.0,62.0
