Date,Lab,Con,Plaid Cymru,Lib Dem,Reform,Green
2023-11-13,44%,24%,13%,4%,9%,5%
2023-10-15,46%,26%,10%,3%,10%,4%
2023-09-17,44%,22%,10%,9%,7%,6%
2023-09-06,50%,19%,12%,5%,8%,5%
2023-08-14,41%,24%,13%,7%,11%,4%
2023-07-16,46%,24%,10%,7%,10%,3%
2023-06-18,43%,22%,10%,7%,12%,4%
2023-05-17,49%,19%,10%,8%,9%,4%
2023-05-15,43%,23%,11%,8%,9%,4%
2023-04-17,44%,24%,12%,7%,9%,4%
2023-02-23,53%,19%,12%,4%,8%,3%
2023-02-07,49%,20%,14%,5%,9%,3%
2022-12-01,51%,18%,13%,4%,8%,4%
2022-10-04,51%,24%,13%,6%,-,-
2022-09-22,46%,23%,15%,5%,5%,3%
2022-06-16,41%,26%,16%,7%,4%,4%
2022-03-01,41%,26%,13%,7%,6%,4%
2021-12-16,41%,26%,13%,3%,7%,6%
2021-10-01,39%,29%,17%,3%,5%,-
2021-09-16,37%,31%,15%,4%,6%,5%
2021-05-04,37%,36%,14%,3%,4%,3%
2021-04-21,37%,33%,18%,2%,3%,4%
2021-04-19,42%,33%,14%,3%,-,3%
2021-03-19,35%,35%,17%,4%,2%,3%
2021-01-14,36%,33%,17%,3%,5%,4%
2020-10-30,43%,32%,13%,3%,5%,3%
2020-09-04,41%,33%,15%,2%,4%,3%
2020-06-01,39%,35%,15%,5%,2%,3%
2020-04-07,34%,46%,11%,4%,3%,2%
2020-01-26,36%,41%,13%,5%,3%,2%
2019-12-12,40.9%,36.1%,9.9%,6.0%,5.4%,1.0%
