Round,Jeffries,McCarthy,Biggs,Jordan,Banks,Donalds,Zeldin,Trump,Hern,Present
1,212,203,10,6,1,1,1,NA,NA,NA
2,212,203,NA,19,NA,NA,NA,NA,NA,NA
3,212,202,NA,20,NA,NA,NA,NA,NA,NA
4,212,201,NA,NA,NA,20,NA,NA,NA,1
5,212,201,NA,NA,NA,20,NA,NA,NA,1
6,212,201,NA,NA,NA,20,NA,NA,NA,1
7,212,201,NA,NA,NA,19,NA,1,NA,1
8,212,201,NA,NA,NA,17,NA,1,2,1
9,212,200,NA,NA,NA,17,NA,NA,3,1
10,212,200,NA,NA,NA,13,NA,NA,7,1
11,212,200,NA,NA,NA,12,NA,1,7,1
12,211,213,NA,4,NA,NA,NA,NA,3,NA
13,212,214,NA,NA,6,NA,NA,NA,NA,NA,NA
14,212,216,2,2,NA,NA,NA,NA,NA,NA,2
15,212,216,NA,NA,NA,NA,NA,NA,NA,NA,6
