Date,Labor,LNP
2025-03-21,48.0,52.0
2025-01-01,44.5,55.5
2024-11-20,49.0,51.0
2024-11-10,49.0,51.0
2024-10-03,49.0,51.0
2024-09-18,50.0,50.0
2024-09-07,50.0,50.0
2024-08-29,48.0,52.0
2024-08-05,50.0,50.0
2024-07-14,50.0,50.0
2024-06-07,55.0,45.0
2024-05-19,50.0,50.0
2024-03-24,54.6,45.4
2024-03-20,54.0,46.0
2023-12-12,55.9,44.1
2023-12-03,56.5,43.5
2023-10-01,57.5,42.5
2023-09-14,56.5,43.5
2023-08-01,60.0,40.0
2023-07-20,53.0,47.0
2023-06-01,62.5,37.5
2023-05-22,61.5,38.5
2023-04-22,60.5,39.5
2023-02-18,60.9,39.1
2022-11-26,55.0,45.0
